timestamp,open,high,low,close,volume
2019-08-13,21.2800,21.6400,17.5200,17.5200,0
2019-08-12,17.8700,21.2600,17.7700,21.0900,0
2019-08-09,18.1400,19.4400,17.3100,17.9700,0
2019-08-08,19.3600,19.8900,16.8200,16.9100,0
2019-08-07,20.7000,23.6700,18.9400,19.4900,0
2019-08-06,22.2900,22.8700,19.7700,20.1700,0
2019-08-05,19.9600,24.8100,19.9100,24.5900,0
2019-08-02,17.6900,20.1100,17.0400,17.6100,0
2019-08-01,15.4100,19.4600,13.7300,17.8700,0
2019-07-31,13.8300,16.5500,13.4600,16.1200,0
2019-07-30,12.8700,14.1800,12.8700,13.9400,0
2019-07-29,12.1500,13.1700,12.1500,12.8300,0
2019-07-26,12.5800,12.7200,12.0100,12.1600,0
2019-07-25,12.2400,13.5400,11.6900,12.7400,0
2019-07-24,12.8000,13.1000,11.9800,12.0700,0
2019-07-23,13.4200,13.5200,12.5500,12.6100,0
2019-07-22,14.5500,14.7000,13.4200,13.5300,0
2019-07-19,13.3100,14.4500,13.0900,14.4500,0
2019-07-18,14.4500,14.5000,13.1900,13.5300,0
2019-07-17,12.6200,13.9700,12.2400,13.9700,0
2019-07-16,12.6100,13.1400,12.2800,12.8600,0
2019-07-15,12.5800,13.0200,12.4900,12.6800,0
2019-07-12,12.7600,12.8200,12.2800,12.3900,0
2019-07-11,13.0100,13.3300,12.3900,12.9300,0
2019-07-10,14.3800,14.6900,12.9800,13.0300,0
2019-07-09,14.4700,14.7100,13.9900,14.0900,0
2019-07-08,13.7300,14.4400,13.6400,13.9600,0
2019-07-05,13.0000,14.4700,12.0400,13.2800,0
2019-07-03,13.1800,13.1900,12.5600,12.5700,0
2019-07-02,14.1600,14.3000,12.9000,12.9300,0
2019-07-01,13.8500,14.6400,13.8000,14.0600,0
2019-06-28,15.7000,16.1300,15.0800,15.0800,0
2019-06-27,15.6600,16.4000,15.6600,15.8200,0
2019-06-26,16.1000,16.6000,15.4700,16.2100,0
2019-06-25,15.4300,16.6800,15.1000,16.2800,0
2019-06-24,15.4600,15.5600,15.2300,15.2600,0
2019-06-21,14.7400,15.4800,14.4200,15.4000,0
2019-06-20,14.0400,16.0300,13.1900,14.7500,0
2019-06-19,15.0500,15.7100,14.1500,14.3300,0
2019-06-18,14.8900,15.5400,14.6200,15.1500,0
2019-06-17,15.6500,15.7600,15.2400,15.3500,0
2019-06-14,16.0000,16.4000,15.2100,15.2800,0
2019-06-13,16.1600,16.2100,15.6100,15.8200,0
2019-06-12,16.2600,16.4300,15.7800,15.9100,0
2019-06-11,15.8400,16.7000,15.5000,15.9900,0
2019-06-10,16.3000,16.4700,15.8400,15.9400,0
2019-06-07,15.6500,16.4400,15.3300,16.3000,0
2019-06-06,16.2500,16.5400,15.3600,15.9300,0
2019-06-05,17.0600,17.4900,16.0400,16.0900,0
2019-06-04,18.7400,18.7400,16.9700,16.9700,0
2019-06-03,19.4100,19.7500,18.1600,18.8600,0
2019-05-31,19.0500,19.7200,18.0100,18.7100,0
2019-05-30,17.4700,18.1100,16.7200,17.3000,0
2019-05-29,18.5500,19.0400,17.6200,17.9000,0
2019-05-28,16.5500,17.7000,15.9000,17.5000,0
2019-05-24,16.3400,16.5200,15.5200,15.8500,0
2019-05-23,15.9300,18.0500,15.2800,16.9200,0
2019-05-22,15.0600,15.4400,14.4200,14.7500,0
2019-05-21,15.8600,16.2200,14.7900,14.9500,0
2019-05-20,15.8800,17.6300,15.4600,16.3100,0
2019-05-17,15.8900,16.8100,14.8600,15.9600,0
2019-05-16,16.6900,17.1300,15.1600,15.2900,0
2019-05-15,17.5700,19.1500,16.4100,16.4400,0
2019-05-14,19.4000,19.6500,17.4500,18.0600,0
2019-05-13,18.6200,21.3200,18.3500,20.5500,0
2019-05-10,18.7900,20.1900,15.5700,16.0400,0
2019-05-09,21.4000,23.3800,18.8700,19.1000,0
2019-05-08,18.9500,21.7400,18.2900,19.4000,0
2019-05-07,15.9000,21.8400,15.8000,19.3200,0
2019-05-06,12.8900,18.8000,12.8900,15.4400,0
2019-05-03,14.1100,14.1500,12.8000,12.8700,0
2019-05-02,14.3500,15.9200,13.8000,14.4200,0
2019-05-01,12.8600,14.8300,12.7400,14.8000,0
2019-04-30,13.1100,14.0500,12.8800,13.1200,0
2019-04-29,13.0400,13.2700,12.6500,13.1100,0
2019-04-26,13.4400,13.6200,12.4900,12.7300,0
2019-04-25,13.2900,14.3000,12.8100,13.2500,0
2019-04-24,12.5300,13.2300,12.2600,13.1400,0
2019-04-23,12.6600,12.6900,12.0800,12.2800,0
